Label,Region,See_Also,Comments,NewRef_ID_NO,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_13,Map_14,Map_12
Sulemaniyya,,,,256,syriaca.org/place/4096,,2,,,,,7,,,,,,,
Tat῾ev,,,,259,syriaca.org/place/4097,,2,,,,,7,,9,,,,,
Tikab,,,,261,syriaca.org/place/4098,,2,,,,,,,9,,,,,
(New) Baṣra,,al-Ubulla,Alphabetize under 'B',263,syriaca.org/place/4099,,,,,,,,8,9,,,,,
al-Ubulla,,(New) Baṣra,change alpha,263,syriaca.org/place/4100,1,2,,,,,,8,,,,,,
Balinea,,Baniyas,,270,syriaca.org/place/4101,1,,3,,,,,,,,,,,
Baniyas,,Balinea,,270,syriaca.org/place/4101,,,3,,,,,,,,,,,
Cyrrhestica,Y,,,272,syriaca.org/place/4103,,,3,,,,,,,,,,,
Kormakitis,,Kurmajit,,279,syriaca.org/place/4104,,,3,,,,,,,,,,,
Kurmajit,,Kormakitis,,279,syriaca.org/place/4104,,,3,,,,,,,,,,,
Taurus Mountains,,,,287,syriaca.org/place/4106,,,3,,,,,,,,,,,
Tel Bashir,,,,288,syriaca.org/place/4107,,2,3,,,,7,,,,,,,
Ṭartuṣ,,,,290,syriaca.org/place/4108,,,3,,,,,,,,,,,
Wondrous Mountain,,,,291,syriaca.org/place/4109,,,3,,,,,,,,,,,
Bashawwat,,,,293,syriaca.org/place/4110,,,,4,,,,,,,,,,
Baskinta,,,,294,syriaca.org/place/4111,,,,4,,,,,,,,,,
Baxʿa,,,,295,syriaca.org/place/4112,,,,4,,,,,,,,,,
Beqaa Valley,Y,,,296,syriaca.org/place/4113,,,,4,,,,,,,,,,
Jordan River,,,,302,syriaca.org/place/4114,,,,4,5,,,,,,,,,
Jubbʿadin,,,,303,syriaca.org/place/4115,,,,4,,,,,,,,,,
Mar Antonios,,Qozhaya,,305,syriaca.org/place/4116,,,,4,,,,,,,,,,
Qozhaya,,Mar Antonios,,305,syriaca.org/place/4116,,,,4,,,,,,,,,,
Mar Elishaʿ,,,,307,syriaca.org/place/4118,,,,4,,,,,,,,,,
Mar Sharbel,,,,311,syriaca.org/place/4119,,,,4,,,,,,,,,,
Mar Yuḥanon Maron,,,,312,syriaca.org/place/4120,,,,4,,,,,,,,,,
Our Lady of Mayfuq,,,,313,syriaca.org/place/4121,,,,4,,,,,,,,,,
"Lebanon, Mount",,,,316,syriaca.org/place/4122,,,,4,,,,,,,,,,
Qadisha Valley,,,,321,syriaca.org/place/4123,,,,4,,,,,,,,,,
Yanuḥ,,,,322,syriaca.org/place/4124,,,,4,,,,,,,,,,
ʿAqaba,,,Realpha,324,syriaca.org/place/4125,,,,,5,,,,,,,,,
Bilbeis,,,,325,syriaca.org/place/4126,,,,,5,,,,,,,,,
Damietta,,,,327,syriaca.org/place/4127,,,,,5,,,,,,,,,
Gadara,,,,330,syriaca.org/place/4128,,,,,5,,,,,,,,,
Jordan,Y,,,331,syriaca.org/place/4129,,,,,5,,,,,,,,,
Judean Desert,,,,332,syriaca.org/place/4130,,,,,5,,,,,,,,,
Kellia,Y,,,333,syriaca.org/place/4131,,,,,5,,,,,,,,,
Klysma,,Qulzum,,334,syriaca.org/place/4132,,,,,5,,,,,,,,,
