Old-ID,NEW,match?,Old Name,status,comments,OldID lookup,
,New377,#N/A,#N/A,,,Old165,
,New378,#N/A,#N/A,,,Old421,
,New379,#N/A,#N/A,,,Old421,
Old219,New38,Old219,Shaqlawa,,,Old198,
,New380,#N/A,#N/A,,,Old198,
,New381,#N/A,#N/A,,,Old120,
,New382,#N/A,#N/A,,,Old120,
Old243,New383,Old243,Qara Qota (Khara Khoto),,,Old401,
Old380,New383,Old380,Qara-khoto,,,Old401,
,New384,#N/A,#N/A,,,Old469,
,New385,#N/A,#N/A,,,Old505,
,New386,#N/A,#N/A,,,Old505,
Old35,New387,Old35,Eshnuq,,,Old333,
Old161,New388,Old161,Barwari Bala,,,Old333,
Old171,New389,Old171,Txuma,,,Old299,
Old172,New389,Old172,Tyare,,,Old299,
Old220,New39,Old220,Solduz (Naqadeh),,,Old199,
Old173,New390,Old173,Upper Ṭiyare,,,Old199,
Old166,New391,Old166,Lower Ṭiyare,,,Old482,
Old162,New392,Old162,Baz,,,Old73,
Old165,New393,Old165,Jilu,,,Old73,
,New394,#N/A,#N/A,,,Old94,
Old164,New395,Old164,Cudi Daği,,,Old94,
Old163,New396,Old163,Bohtan,,,Old236,
Old462,New397,Old462,Lake Van,,,Old236,
Old365,New398,Old365,Caspian Sea,,,Old312,
,New399,#N/A,#N/A,,,Old150,
Old179,New4,Old179,Ankawa,,,Old150,
Old221,New40,Old221,Sulemaniyya,,,Old284,
Old364,New400,Old364,Black Sea,,,Old61,
Old466,New401,#N/A,Crimea,not in final index,,Old128,
Old384,New402,#N/A,Caucasus,not in final index,,Old128,
Old54,New403,Old54,Muqan,,,Old463,
Old84,New404,Old84,Adardbaigan,,,Old463,
Old412,New405,Old412,Armenia,,,Old506,
Old85,New405,Old85,Armenia,,,Old200,
Old17,New406,Old17,Gilan,,,Old200,
Old345,New406,Old345,Gilan,,,Old201,
Old79,New406,Old79,Dailam and Gilan,,,Old201,
Old344,New407,Old344,Dailam,,,Old151,
Old36,New408,Old36,Hebton,,,Old151,
Old27,New409,Old27,Qaimar,,,Old352,
Old222,New41,Old222,Telkepe,,,Old202,
Old169,New410,Old169,Tergawar,,,Old237,
Old47,New411,Old47,Hnitha,,,Old237,
Old119,New412,Old119,Sinjar,,,Old307,
,New413,#N/A,#N/A,,,Old350,
,New414,#N/A,#N/A,,,Old324,
Old116,New415,Old116,mount Izla,,,Old324,
Old117,New416,Old117,Tur ‘Abdin,,,Old349,
Old170,New416,Old170,Tur Abdin,,,Old349,
Old385,New416,Old385,Tur ‘Abdin,,,Old507,
Old470,New416,Old470,TurʿAbdin,,,Old507,
Old273,New417,Old273,Al-Hijr,,,Old203,
Old331,New418,Old331,Toru Aygyr,,,Old203,
Old363,New419,Old363,Murghab River,,,Old304,
Old223,New42,Old223,Tikab,,,Old304,
Old360,New420,Old360,Syr Darya (Jaxartes),,,Old300,
Old361,New421,Old361,Amu Darya (Oxus),,,Old300,
Old135,New422,Old135,Euphrate,,,Old422,
Old138,New423,Old138,Tigris,,,Old422,
Old136,New424,Old136,Great Zab,,,Old238,
Old175,New424,Old175,Great Zab river,,,Old238,
Old137,New425,Old137,Little Zab,,,Old7,
Old362,New426,Old362,Chu River,,,Old7,
,New427,#N/A,#N/A,,,Old78,
,New428,#N/A,#N/A,,,Old508,
,New429,#N/A,#N/A,,,Old508,
Old224,New43,Old224,Urmi,,,Old287,
Old34,New43,Old34,Urmia,,,Old287,
