Old-ID,NEW,Map,Old Name,New Name,Deprecated
Old7,New51,,Maiperqat,#REF!,
Old38,New510,,Tamanon,#REF!,
Old59,New511,,Zabe,#REF!,
Old92,New511,,Nuʿmania,#REF!,
,New512,,#N/A,#REF!,
,New513,,#N/A,#REF!,
Old49,New514,,Tirhan,#REF!,
Old128,New515,,Kellia,#REF!,
Old118,New516,,Woundrous Mountain,#REF!,
Old123,New517,,Beth Aramaye,#REF!,
Old81,New517,,Beth Aramaye,#REF!,
Old46,New518,,Salakh,#REF!,
Old55,New519,,Ganzak,#REF!,
Old8,New52,,Hesna d'Kifa,#REF!,
Old37,New520,,Beth Dasen,#REF!,
,New521,,#N/A,#REF!,
,New522,,#N/A,#REF!,
,New523,,#N/A,#REF!,
,New524,,#N/A,#REF!,
,New525,,#N/A,#REF!,
,New526,,#N/A,#REF!,
,New527,,#N/A,#REF!,
Old299,New528,,Karakorum,#REF!,
,New529,,#N/A,#REF!,
Old9,New53,,Akhlat,#REF!,
,New530,,#N/A,#REF!,
,New531,,#N/A,#REF!,
Old28,New532,,Qarta,#REF!,
,New533,,#N/A,#REF!,
,New534,,#N/A,#REF!,
,New535,,#N/A,#REF!,
,New536,,#N/A,#REF!,
Old10,New54,,Nisibis,#REF!,
Old155,New54,,Nisibis,#REF!,
Old260,New54,,Nisibis,#REF!,
Old286,New54,,School of Nisibis,#REF!,
Old289,New54,,Nisibis,#REF!,
Old445,New54,,Nisibis,#REF!,
Old456,New54,,Nisibis,#REF!,
Old87,New54,,Nisibis,#REF!,
Old11,New55,,Erbil,#REF!,
Old141,New55,,Arbela,#REF!,
Old181,New55,,Arbel,#REF!,
Old259,New55,,Arbela,#REF!,
Old473,New55,,Arbela (Erbil),#REF!,
Old83,New55,,Erbil,#REF!,
Old12,New56,,Mosul,#REF!,
Old153,New56,,Mosul,#REF!,
Old367,New56,,Mosul,#REF!,
Old407,New56,,Mosul,#REF!,
Old487,New56,,Mosul,#REF!,
Old86,New56,,Mosul,#REF!,
Old15,New57,,Daququa,#REF!,
Old13,New58,,Tarbiz,#REF!,
Old491,New58,,Tabriz,#REF!,
