	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 17,241	1#312	CCCXCII	DCCCXCVIII	CCCXCII		Add. 17,269, foll. 39-80	1#357	CCCCXLIV	CCCCXLIV	CCCCXLIV	#N/A	444	Approx. 13c	1095				Peter	Drafted		
Add. 14,704	1#312-313	CCCXCIII	cccclxxVi	CCCXCIII		Add. 17,261, foll. 9-66	1#358-359	CCCCXLIX	CCCCXLIX	CCCCXLIX	#N/A	449	Approx. 13c-14c	1076				Peter	Drafted		
Add. 14,736, foll. 64, 65	1#315-316	CCCXCIX	DVI	CCCXCIX		Add. 17,261, foll. 1-8	1#357	CCCCXLV	CCCCXLV	CCCCXLV	#N/A	445	Approx. 13c	1075				Peter	Drafted		
Add. 17,250	1#313-314	CCCXCV	DCCCCV	CCCXCV		Add. 14,524, foll. 30-47	1#357	CCCCXLVI	CCCCXLVI	#N/A	#N/A	446	Approx. 13c	240				Tucker	Framework established for a later stage		
Add. 17,261, foll. 67-149	1#314	CCCXCVII	DXXXII	CCCXCVII		Add. 17,255	1#357-358	CCCCXLVII	CCCCXLVII	CCCCXLVII	#N/A	447	Approx. 13c	1049				Jessie	Drafted and edited	Lindsay 5/30/20	
Add. 14,511	1#249-250	CCCXI	CCLXVII	CCCXI		Add. 14,723, foll. 3-65	1#358	CCCCXLVIII	CCCCXLVIII	#N/A	#N/A	448	Approx. 13c	609							
Add. 14,512	1#250-251	CCCXII		CCCXII		Add. 14,710	1#325	CCCCXV	CCCCXV	CCCCXV	#N/A	440	1259	582				Anna	Drafted	Jessie	
(Add. 12,145)	1#251-254	CCCXIII	XVI	CCCXIII		Add. 17,233, foll. 80-151	1#325-326	CCCCXVI	CCCCXVI	#N/A	#N/A	416	Approx. 13c	1018							
Add. 12,145 upper text	1#251-254	CCCXIII	DCLXXIII	CCCXIII		Add. 17,240	1#326-327	CCCCXVII	CCCCXVII	CCCCXVII	#N/A	417	Approx. 13c	1027				Jessie	Drafted and edited	Lindsay 5/29/2020	Coptic letters need inserted; Syriac needs to be check on last item
Add. 12,145 lower text	1#251-254	CCCXIII	DCLXXIV	CCCXIII		Add. 21,031	1#327-328	CCCCXVIII	CCCCXVIII	CCCCXVIII	#N/A	418	1213	1135				Jessie	Drafted	Lindsay	
Add. 14,507	1#283-285	CCCXL	CCLXV	cccxl		Add. 14,716, foll. 1-78	1#328-329	CCCCXX	CCCCXX	#N/A	#N/A	420	Approx. 13c	592							
Add. 14,507 upper text	1#283-285	CCCXL	DCLXXVII	cccxl		Add. 17,134	1#330-339	CCCCXXI	CCCCXXI	CCCCXXI	#N/A	421	675	763				Peter	Drafted		
Add. 14,507, foll. 139-205 lower text	1#283-285	CCCXL	DCLXXVIII	cccxl		Add. 18,816	1#339-340	CCCCXXII	CCCCXXII	#N/A	#N/A	422	Approx. 9c	1124				Jessie	In Progress		
Add. 14,507, foll. 1-108, 113-138, 206-212 lower text	1#283-285	CCCXL	DCLXXIX	cccxl		Add. 18,819, foll. 92-109	1#34	CCCCXXIII	CCCCXXIII	#N/A	#N/A	423	884	1129							
Add. 14,695	1#285-286	CCCXLI	CCCCLXVIII	cccxli		Add. 18,819, foll. 1-91	1#340-341	CCCCXXIV	CCCCXXIV	#N/A	#N/A	424	Approx. 9c-10c	1128							
Add. 14,697	1#286-288	CCCXLII	CCCCLXX	cccxlii		Add. 17,140	1#345-346	CCCCXXIX	CCCCXXIX	#N/A	#N/A	429	Approx. 11c	769							
Add. 14,698	1#288-289	CCCXLIII	CCCCLXXI	cccxliii		Add. 14,514	1#341-343	CCCCXXV	CCCCXXV	#N/A	#N/A	425	Approx. 9c	208							
Add. 14,696	1#289-290	CCCXLIV	CCCCLXIX	cccxliv		Add. 17,139	1#343	CCCCXXVI	CCCCXXVI	CCCCXXVI	#N/A	426	Approx. 10c-11c	768				Jessie	Drafted		
Add. 14,523, foll. 14-35	1#293	CCCXLIX		cccxlix		Add. 17,136	1#343-345	CCCCXXVII	CCCCXXVII	#N/A	#N/A	427	Approx. 10c-11c	765							
(Add. 17,243)	1#290-291	CCCXLV	DCCCXCIX	cccxlv		Add. 18,819, foll. 110-120	1#345	CCCCXXVIII	CCCCXXVIII	#N/A	#N/A	428	Approx. 10c-11c	1130							
