	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,682	2#608-610	DCCXIII	CCCCLVIII	DCCXIII		Add. 17,219	1#134-136	CXCI	CXCI	CXCI	191	191	Approx. 13c	980				Jessie	Drafted and edited	Lindsay 5/28/2020	
Add. 14,683, foll. 1-102	2#610-611	DCCXIV	DCXIX	DCCXIV		Add. 14,738, foll. 2-5	1#136	CXCII	CXCII	#N/A	192	192	Approx. 13c	695				Daniel	Framework established for a later stage		
Add. 14,683, foll. 103-141	2#611-612	DCCXIV	DCXX	DCCXIV		Add. 14,672	1#136	CXCIII	CXCIII	CXCIII	193	193	Approx. 13c-14c	524				Anna	Drafted and edited	Will, 01/31/2020	
Add. 14,594	2#618-620	DCCXIX	cccxlvii	found		Add. 17,257, fol. 79	1#136-137	CXCIV	CXCIV	#N/A	194	194	Approx. 13c-14c	1059				Daniel	Framework established for a later stage		
Add. 12,166, foll. 1-154	2#674-676	DCCXLII	XXXVII	DCCXLII		Add. 17,257, fol. 112	1#138	CXCIX	CXCIX	#N/A	199	199	Approx. 14c	1067				Daniel	Framework established for a later stage		
Add. 17,201, foll. 1-15	2#690	DCCXLIX	CXXXV	found		Add. 17,257, foll. 103-107	1#137	CXCV	CXCV	#N/A	195	195	Approx. 13c-14c	1065				Daniel	Framework established for a later stage		
Add. 14,607	2#683-684	DCCXLVII	ccclvii	DCCXLVII		Add. 17,257, foll. 108-111	1#137	CXCVI	CXCVI	#N/A	196	196	Approx. 13c-14c	1066				Daniel	Framework established for a later stage		
Add. 17,199	2#612-613	DCCXV	CXXXIII	found		Add. 17,223	1#137	CXCVII	CXCVII	CXCVII	197	197	Approx. 14c	984				Jessie	Drafted and edited	Lindsay 5/28/2020	Check Arabic for accuracy
Add. 17,217, foll. 1-19	2#613	DCCXVI	DLVI	fixed		Add. 26,552	1#137-138	CXCVIII	CXCVIII	CXCVIII	198	198	Approx. 14c	1150				Jessie	Drafted	Lindsay	
Add. 17,274	2#620	DCCXX	DLIX	found		Add. 17,224, fol. 66	1#71	CXI	CXI	CXI	111	111	Approx. 13c	995				Daniel	Drafted and edited	Tucker, 12/30	
Add. 17,188	2#620-622	DCCXXI	CXXIII	found		Add. 17,119	1#71-72	CXII	CXII	CXII	112	112	Approx. 6c-7c	748				Daniel 	Drafted and edited	Tucker,12/30	
Add. 12,143	2#623	DCCXXII	XV	DCCXXII		Add. 14,669, fol. 37	1#72	CXIII	CXIII	CXIII	113	113	Approx. 6c	507				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 21,580	2#624-626	DCCXXIII	DLXXV	DCCXXIII		Add. 14,668, foll. 30, 31	1#72	CXIV	CXIV	CXIV	114	114	Approx. 9c	489				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 23,596	2#626-628	DCCXXIV	DLXXVII	found		Add. 14,451 (bis)	1#73-75	CXIX	CXIX	#N/A	119	119	Approx. 5c (late)	124							
Add. 12,150	2#631-633	DCCXXVI	XX	found		Add. 14,669, foll. 57-59	1#90	CXL	CXL	CXL	140	140	Approx. 6c-7c	509				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 12,175, foll. 81-254	2#633-638	DCCXXVII	LIV	found		Add. 14,478	1#90-92	CXLI	CXLI	CXLI	141	141	622	163				Daniel 	Drafted and edited	Tucker, 2/14/2014	
Add. 14,597	2#648-651	DCCXXX	cccl	found		Add. 14,666, fol. 56	1#92	CXLII	CXLII	CXLII	142	142	682	460				Daniel	Drafted and edited	Tucker, 12/26	
Add. 17,144	2#652-654	DCCXXXII	LXXV	DCCXXXII		Add. 14,468, foll. 1-20	1#92-93	CXLIII	cxliii	CXLIII	143	143	Approx. 7c	150				Justin, Erin, Alex	Drafted and edited	DM, 10/7	
(Add. 17,165)		DCCXXXIII	CI	DCCXXXIII		Add. 14,666, foll. 51-55	1#93	CXLIV	CXLIV	CXLIV	144	144	Approx. 7c-8c	459				Daniel	Drafted and edited	Tucker, 12/26	
Add. 17,165, foll. 1-8	2#654-655	DCCXXXIII	DCXXI	DCCXXXIII		Add. 14,666 fol. 52	1#93	CXLIV	CXLIV	CXLIV	144	144		1178				Daniel	Drafted and edited	Tucker, 12/26	
Add. 17,165, foll. 9-114	2#654-655	DCCXXXIII	DCXXII	DCCXXXIII		Add. 17,224, foll. 71, 72	1#95	CXLIX	cxlix	CXLIX	149	149	Approx. 13c	997				Daniel	Drafted and edited	Tucker, 12/30	
Add. 17,149	2#668-669	DCCXXXIX	LXXX	DCCXXXIX		Add. 17,123	1#93	CXLV	CXLV	CXLV	145	145	Approx. 9c-10c	752				Daniel 	Drafted and edited	Tucker, 12/30	
Add. 17,171, foll. 1-16	2#657	DCCXXXV	CV	found		Add. 14,468, foll. 21-33	1#93	CXLVI	CXLVI	CXLVI	146	146	Approx. 10c-11c	151				Justin, Erin, Alex	Drafted and edited	DM, 10/7	
Add. 12,175, foll. 49-80	2#657-658	DCCXXXVI	LIII	found		Add. 17,227	1#94-95	CXLVII	CXLVII	CXLVII	147	147	1254	1004				Erin and Justin	Drafted		
Add. 17,166	2#658-660	DCCXXXVII	CII	found		Add. 17,224, foll. 67-70	1#95	CXLVIII	CXLVIII	CXLVIII	148	148	Approx. 13c	996				Daniel	Drafted and edited	Tucker, 12/30	
Add. 17,267, foll. 1-8	2#481	DCII	DXXXVII	DCII		Add. 14,666, foll. 49, 50	1#72	CXV	CXV	CXV	115	115	Approx. 10c-11c	458				Daniel	Drafted and edited	Tucker, 12/26	
Add. 14,630, foll. 29-41	2#481	DCIII	CCCLXXII	DCIII		Add. 14,524, foll. 3-6	1#72	CXVI	CXVI	CXVI	116	116	Approx. 11c-12c	236				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 17,160, foll. 19-23	2#481-482	DCIV	XCII	DCIV		Add. 17,225	1#72-73	CXVII	CXVII	CXVII	117	117	Approx. 13c	1002				Daniel 	Drafted		
Add. 14,555, foll. 1-43a	2#483-484	DCIX	DCXXVI	DCIX		Add. 14,466, foll. 18-42	1#73	CXVIII	CXVIII	CXVIII	118	118	Approx. 11c-12c	146				Daniel	Drafted and edited	Tucker, 12/21	
Add. 14,555, foll. 43b-44	2#484	DCIX	DCXXVII	DCIX		Add. 14,469	1#75-76	CXX	CXX	CXX	120	120	936	152				Daniel	Drafted and edited	Tucker, 1/2/2014	
Add. 17,160, foll. 1-18	2#512-513	DCL	XCI	DCL		Add. 14,474	1#76-77	CXXI	CXXI	CXXI	121	121	Approx. 9c	159				Daniel	Drafted and edited	Tucker, 1/23/2014	
Add. 17,171, foll. 17-23	2#513	DCLII	CVI	DCLII		Add. 14,680	1#77-78	CXXII	CXXII	CXXII	122	122	Approx. 12c-13c	536				Tucker	Drafted and edited	Tucker, 3/21/2014	
Add. 14,634, foll. 50, 51	2#513	DCLIII	CCCLXXVIII	DCLIII		Add. 14,681	1#78-79	CXXIII	CXXIII	CXXIII	123	123	Approx. 12c-13c	537				Tucker	Drafted and edited	Tucker, 3/21/2014	
Add. 14,634, foll. 3-49	2#514-515	DCLVI	CCCLXXVII	DCLVI		Add. 17,226	1#79	CXXIV	CXXIV	CXXIV	124	124	Approx. 13c-14c	1003				Tucker	Drafted		
Add. 14,634, foll. 1, 2	2#515	DCLVIII	CCCLXXVI	DCLVIII		Add. 18,812	1#83	CXXIX	CXXIX	CXXIX	129	129	Approx. 6c-7c	1118				Tucker	Drafted		
Add. 14,736, foll. 10, 11	2#517	DCLXIX	CCCCXCI	DCLXIX		Add. 14,473, foll. 1-139	1#79-80	CXXV	CXXV	CXXV	125	125	Approx. 6c	157				Tucker	Drafted and edited	Tucker, 1/3/2014	
Add. 17,272, foll. 30-63	2#517	DCLXXI	DLIII	DCLXXI		Add. 17,120	1#8	CXXVI	CXXVI	CXXVI	126	126	Approx. 6c	749				Tucker	Drafted		
Add. 14,587	2#517-524	DCLXXII	cccxlv	DCLXXII		Add. 17,121	1#80-81	CXXVII	CXXVII	CXXVII	127	127	Approx. 6c	750				Tucker	Drafted		
Add. 17,163, foll. 1-48	2#524-526	DCLXXIII	XCIX	DCLXXIII		Add. 14,472	1#81-82	CXXVIII	CXXVIII	CXXVIII	128	128	Approx. 6c-7c	155				Tucker	Drafted and edited	Tucker, 1/3/2014	
Add. 17,126	2#526	DCLXXIV	LXIX	DCLXXIV		Add. 14,738, foll. 6, 7	1#83	CXXX	CXXX	CXXX	130	130	Approx. 13c	696				Daniel	Drafted and edited	Tucker, 12/27	
Add. 17,153	2#531	DCLXXIX	LXXXIV	DCLXXIX		Add. 17,228, foll. 38-64	1#83	CXXXI	CXXXI	CXXXI	131	131	Approx. 13c	1007				Tucker	Drafted		
Add. 14,534	2#526-527	DCLXXV	CCXCIII	DCLXXV		Add. 14,473, foll. 140-148	1#83-84	CXXXII	CXXXII	CXXXII	132	132	Approx. 11c	158				Tucker	Drafted and edited	Tucker, 1/3/2014	
Add. 12,164	2#527-529	DCLXXVI	XXXIV	DCLXXVI		Add. 14,476	1#84	CXXXIII	CXXXIII	CXXXIII	133	133	Approx. 5c-6c	161				Tucker	Drafted and edited	Tucker, 1/24/2014	
Add. 12,163, foll. 1-126	2#529-530	DCLXXVII	XXXI	DCLXXVII		(Add. 14,480)	1#84-85	CXXXIV	CXXXIV	CXXXIV	134	134	Approx. 5c-6c	165				Tucker	Drafted and edited	Tucker, 2/14/2014	
Add. 14,595	2#530-531	DCLXXVIII	cccxlviii	DCLXXVIII		Add. 14,481	1#9	CXXXIX	CXXXIX	CXXXIX	139	139	Approx. 6c-7c	166				Daniel 	Drafted and edited	Tucker, 12/26	
Add. 14,596	2#531-532	DCLXXX	cccxlix	DCLXXX		Add. 14,479	1#86	CXXXV	CXXXV	CXXXV	135	135	534	164				Tucker	Drafted and edited	Tucker, 2/14/2014	
Add. 14,625	2#532	DCLXXXI	CCCLXVI	DCLXXXI		Add. 14,475	1#86-87	CXXXVI	CXXXVI	CXXXVI	136	136	Approx. 6c	160				Tucker	Drafted and edited	Tucker, 1/23/2014	
Add. 17,216, foll. 32, 33	2#533-534	DCLXXXIV	DXLIII	DCLXXXIV		Add. 17,122	1#87-88	CXXXVII	CXXXVII	CXXXVII	137	137	Approx. 6c	751				Tucker	Drafted		
Add. 12,159	2#534-546	DCLXXXV	XXIV	found		Add. 14,477	1#88-89	CXXXVIII	CXXXVIII	CXXXVIII	138	138	Approx. 6c-7c	162				Tucker	Drafted and edited	Tucker, 2/14/2014	
Add. 14,599	2#546-548	DCLXXXVI	ccclii	DCLXXXVI		Add. 14,667, foll. 52, 53	1#384	D	D	#N/A	500	500	Approx. 10c	473							
Add. 17,270	2#482	DCV	DXLIX	DCV		Add. 14,668, fol. 45	2#480-481	DC	DC	#N/A	600	600	Approx. 8c-9c	494				Tucker	Framework established for a later stage		
Add. 17,217, foll. 20-32	2#482	DCVI	DLVII	DCVI		Add. 14,603	2#586-587	DCC	#N/A	DCC	700	700	Approx. 7c	339				Daniel	Drafted		
Add. 17,217, fol. 41	2#484-485	DCX	DLXXIV	DCX		Add. 14,620	2#800-803	DCCC	DCCC	#N/A	800	800	Approx. 9c	360							
Add. 17,154	2#557-558	DCXCI	LXXXV	found		Add. 14,738, foll. 110-113	2#1026	DCCCC	DCCCC	#N/A	#N/A	900	Approx. 12c	714				Daniel	Framework established for a later stage		
Add. 12,181	2#558-564	DCXCII	LIX	found		Add. 14,738, fol. 116	2#1026	DCCCCI	DCCCCI	#N/A	#N/A	901	Approx. 12c	716				Daniel	Framework established for a later stage		
Add. 14,600	2#565-569	DCXCIII	cccliii	found		Add. 14,738, foll. 108, 109	2#1026	DCCCCII	DCCCCII	#N/A	#N/A	902	Approx. 12c-13c	713				Daniel	Framework established for a later stage		
Add. 14,633	2#569-576	DCXCIV	CCCLXXIV	found		Add. 14,737, foll. 87-91	2#1026	DCCCCIII	DCCCCIII	#N/A	#N/A	903	Approx. 13c	688							
Add. 14,541, foll. 39-49	2#585-586	DCXCIX	CCXCIX	found		Add. 14,736, fol. 3	2#1026	DCCCCIV	DCCCCIV	DCCCCIV	#N/A	904	Approx. 13c	654				Will Potter	Drafted		
Add. 14,632	2#576-581	DCXCV	CCCLXXIII	found		Add. 14,527	2#1036-1037	DCCCCIX	DCCCCIX	DCCCCIX	#N/A	909	Approx. 11c	252				Seonghyun	Drafted and edited	Julia 4/15/2015	
Add. 14,551	2#485	DCXI	CCCXI	DCXI		Add. 14,649, foll. 1-179	3#1108-1111	DCCCCL	DCCCCL	#N/A	#N/A	950	Approx. 9c	416							
Add. 14,552	2#485-486	DCXII	CCCXII	DCXII		Add. 14,629, foll. 25-31	3#1111	DCCCCLI	DCCCCLI	#N/A	#N/A	951	Approx. 9c	373							
Add. 14,556	2#487-488	DCXIV	CCCXVI	DCXIV		Add. 14,645	3#1111-1116	DCCCCLII	DCCCCLII	#N/A	#N/A	952	936	409							
Add. 17,151	2#490-491	DCXIX	LXXXII	DCXIX		Add. 12,172, foll. 12-24	3#1116-1117	DCCCCLIII	DCCCCLIII	#N/A	953	953	Approx. 10c	63				Tucker	Framework established for a later stage		
Add. 14,574, foll. 34-40	2#508-509	DCXL	cccxxxix	found		Add. 12,172, foll. 25-54	3#1117-1118	DCCCCLIV	DCCCCLIV	#N/A	954	954	Approx. 10c	64				Tucker	Framework established for a later stage		
Add. 17,184	2#509-510	DCXLI	CXIX	found		Add. 14,730, foll. 112-164	3#1122-1123	DCCCCLIX	DCCCCLIX	#N/A	#N/A	959	Approx. 12c	637							
Add. 14,670, foll. 30-35	2#51	DCXLII	CCCCXXXIX	found		Add. 14,665, foll. 1-7	3#1118-1119	DCCCCLV	DCCCCLV	#N/A	#N/A	955	Approx. 10c-11c	438							
Add. 14,670, foll. 26-29	2#51	DCXLIII	CCCCXXXVIII	found		Add. 14,734, foll. 177-223	3#1119	DCCCCLVI	DCCCCLVI	#N/A	#N/A	956	Approx. 11c	646							
Add. 14,670, foll. 36, 37	2#511	DCXLIV	CCCCXL	DCXLIV		Add. 14,655	3#1119-1120	DCCCCLVII	DCCCCLVII	#N/A	#N/A	957	Approx. 11c	423							
Add. 14,670, fol. 38	2#512	DCXLIX	CCCCXLI	DCXLIX		Add. 14,735, foll. 72-173	3#1120-1122	DCCCCLVIII	DCCCCLVIII	#N/A	#N/A	958	Approx. 12c	651							
Add. 17,159, foll. 1-63	2#511	DCXLV	LXXXIX	DCXLV		Add. 12,174	3#1123-3#1139	DCCCCLX	DCCCCLX	#N/A	960	960	1197	70				Dr. Michelson, Julia, Kayla, and Justin	Framework established for a later stage		
Add. 14,670, fol. 39	2#512	DCXLVII	CCCCXLII	DCXLVII		Add. 14,733	3#1139-1140	DCCCCLXI	DCCCCLXI	DCCCCLXI	#N/A	961	1199	643				Peter	Drafted		
Add. 14,630, fol. 28	2#512	DCXLVIII	CCCLXXI	DCXLVIII		(Add. 17,265)	3#1140-1141	DCCCCLXII	DCCCCLXII	DCCCCLXII	#N/A	962	Approx. 13c	1081				Jessie	Drafted and edited	Will, 03/05/2020	msParts added (see 1425 and 1424)
Add. 17,217, foll. 33-36	2#488	DCXV	DLVIII	DCXV		Add. 17,265, foll. 2-105	3#1140-1141	DCCCCLXII	DCCCCLXII	DCCCCLXII	#N/A	962	Approx. 13c	1424				Will Potter	Drafted	msParts, edit with full ms	cf. 1081
Add. 17,217, fol. 39	2#488-489	DCXVI	DLIX	DCXVI		Add. 17,265, foll. 1 (fly-leaf)	3#1140-1141	DCCCCLXII	DCCCCLXII	DCCCCLXII	#N/A	962	Approx. 13c	1425				Will Potter	Drafted	msParts, edit with full ms	cf. 1081
Add. 18,818	2#489	DCXVII	DLXX	DCXVII		Add. 14,732, foll. 1-227	3#1141-1146	DCCCCLXIII	#N/A	#N/A	#N/A	963	Approx. 13c	640							
Add. 14,553	2#489-490	DCXVIII	CCCXIII	DCXVIII		Add. 17,267, foll. 50-75	3#1146	DCCCCLXIV	#N/A	DCCCCLXIV	#N/A	964	Approx. 13c	1091				Justin 	Drafted		
Add. 12,166, foll. 155-258	2#491-492	DCXX	XXXVIII	DCXX		Add. 14,735, foll. 51-71	3#1148	DCCCCLXIX	#N/A	#N/A	#N/A	969	Approx. 12c-13c	650							
Add. 14,554	2#492	DCXXI	CCCXIV	DCXXI		Add. 14,737, foll. 85, 86	3#1146	DCCCCLXV	#N/A	#N/A	#N/A	965	Approx. 13c	687							
Add. 17,150	2#492-493	DCXXII	LXXXI	DCXXII		Add. 17,216, fol. 45	3#1147	DCCCCLXVI	#N/A	DCCCCLXVI	#N/A	966	Approx. 9c-10c	921				Peter	Drafted		
Add. 17,215, foll. 28, 29	2#493	DCXXIII	DXXXVIII	DCXXIII		Add. 14,734, foll. 1-176	3#1147-1148	DCCCCLXVII	#N/A	#N/A	#N/A	967	1085	645							
Add. 14,523, foll. 49-56	2#493	DCXXIV	CCLXXXIX	DCXXIV		Add. 17,272, foll. 64-67	3#1148	DCCCCLXVIII	#N/A	DCCCCLXVIII	#N/A	968	Approx. 12c	1103				Peter	Drafted		
Add. 22,370	2#500-501	DCXXIX	DLXXVI	found		Add. 14,738, foll. 106, 107	3#1149	DCCCCLXX	#N/A	#N/A	#N/A	970	Approx. 12c-13c	712				Daniel	Framework established for a later stage		
Add. 12,151	2#493-497	DCXXV	XXI	DCXXV		Add. 14,735, foll. 24-50	3#1149	DCCCCLXXI	#N/A	#N/A	#N/A	971	Approx. 13c	649							
Add. 12,152	2#497-499	DCXXVI	XXII	DCXXVI		Add. 14,631, foll. 1-16	3#1149	DCCCCLXXII	#N/A	#N/A	#N/A	972	Approx. 10c	379							
Add. 14,539	2#499	DCXXVII	CCXCV	DCXXVII		Add. 17,201, foll. 22-25	3#1149	DCCCCLXXIII	#N/A	DCCCCLXXIII	#N/A	973	Approx. 7c-8c	862				Peter	Drafted and edited	Will P., 03/03/2020	
Add. 14,540	2#499-500	DCXXVIII	CCXCVI	found		Add. 14,657	3#1150	DCCCCLXXIV	#N/A	#N/A	#N/A	974	Approx. 9c	425				DEMO			
Add. 14,541, foll. 1-10	2#501-502	DCXXX	CCCXCVIII	found		Add. 14,735, foll. 1-23	3#1151	DCCCCLXXIX	#N/A	#N/A	#N/A	979	Approx. 13c	648							
Add. 14,541, foll. 11-18	2#501-502	DCXXX	DCL	found		Add. 14,738, foll. 90-104	3#1150	DCCCCLXXV	#N/A	#N/A	#N/A	975	Approx. 13c	710				Daniel	Framework established for a later stage		
Add. 14,541, foll. 19-24	2#501-502	DCXXX	DCLI	found		Add. 17,216, fol. 44	3#1150	DCCCCLXXVI	#N/A	DCCCCLXXVI	#N/A	976	Approx. 9c	920				Peter	Drafted		
Add. 14,541, foll. 25-26	2#501-502	DCXXX	DCLII	found		Add. 17,213, fol. 19	3#115	DCCCCLXXVII	#N/A	#N/A	977	977	Approx. 10c-11c	886				Tucker	Framework established for a later stage		
Add. 14,541, foll. 27-28	2#501-502	DCXXX	DCLIII	found		Add. 14,622	3#1150-1151	DCCCCLXXVIII	#N/A	#N/A	#N/A	978	Approx. 9c	362							
Add. 14,541, foll. 29-38	2#501-502	DCXXX	DCLIV	found		Add. 17,203	3#1151	DCCCCLXXX	#N/A	DCCCCLXXX	#N/A	980	Approx. 11c	865				Jessie	Drafted and edited	Lindsay 5/20/2020	
Add. 14,585	2#502-503	DCXXXI	cccxliii	found		Add. 14,665, foll. 8, 9	3#1151	DCCCCLXXXI	#N/A	#N/A	#N/A	981	Approx. 8c	439							
Add. 14,586	2#503	DCXXXIII	cccxliv	found		Add. 14,484, foll. 48-133	3#1152	DCCCCLXXXII	#N/A	#N/A	982	982	Approx. 6c	173				Tucker	Framework established for a later stage		
Add. 17,215, fol. 34	2#503-504	DCXXXIV	DXXX	found		Add. 14,484, foll. 134-152	3#1152-1153	DCCCCLXXXIII	#N/A	#N/A	983	983	Approx. 6c	174				Tucker	Framework established for a later stage		
Add. 17,155	2#507-508	DCXXXIX	LXXXVI	found		Add. 14,670, foll. 23-25	3#1153	DCCCCLXXXIV	#N/A	DCCCCLXXXIV	#N/A	984	Approx. 6c-7c	517				Justin	Drafted		
Add. 17,157	2#504-505	DCXXXVI	LXXXVII	found		Add. 17,156, foll. 1-12	3#1162-1163	DCCCCLXXXIX	DCCCCLXXXIX	#N/A	#N/A	989	Approx. 9c	786							
Add. 17,161	2#505-506	DCXXXVII	XCVII	found		Add. 14,736, fol. 12	3#1153	DCCCCLXXXV	#N/A	DCCCCLXXXV	#N/A	985	Approx. 14c	657				Will Potter	Drafted		
Add. 14,584	2#506-507	DCXXXVIII	cccxlii	found		Add. 14,738, fol. 105	3#1153	DCCCCLXXXVI	#N/A	#N/A	#N/A	986	Approx. 13c	711				Daniel	Framework established for a later stage		
Add. 17,215, foll. 22-25 upper text	1#388	DIII	CLX	DIII		Add. 14,658	3#1154-1160	DCCCCLXXXVII	#N/A	DCCCCLXXXVII	#N/A	987	Approx. 7c	426				Peter	Drafted		
Add. 17,215, foll. 22-25 lower text	1#388	DIII		DIII		Add. 14,660	3#1160-1162	DCCCCLXXXVIII	#N/A	#N/A	#N/A	988	Approx. 9c-10c	428							
Add. 14,523, foll. 39-46 upper text	1#388	DIV	CCLXXXVII	DIV		Add. 14,530	2#1027-1030	DCCCCV	DCCCCV	#N/A	#N/A	905	535	257							
Add. 14,523 foll. 39-46 lower text		DIV		DIV		Add. 14,528, foll. 1-151	2#1030-1033	DCCCCVI	DCCCCVI	#N/A	#N/A	906	Approx. 6c (early) (501?)	254							
(Add. 14,543)	2#419-420	DL	CCCIII	DL		Add. 14,526, foll. 1-39	2#1033-1036	DCCCCVII	DCCCCVII	#N/A	#N/A	907	Approx. 7c	250							
Add. 14,543, fol. 1	2#420	DL	DCXIII	DL		Add. 14,526, foll. 40-47	2#1036	DCCCCVIII	DCCCCVIII	#N/A	#N/A	908	Approx. 8c	251							
Add. 14,543, fol. 1-147	2#419-420	DL	DCXIV	DL		Add. 17,216, fol. 43	2#1037	DCCCCX	DCCCCX	DCCCCX	#N/A	910	Approx. 8c-9c	919				Peter	Drafted		
Add. 17,186	2#420-421	DLI	CXXI	DLI		Add. 14,659	3#1163-1164	DCCCCXC	DCCCCXC	DCCCCXC			Approx. 8c-9c	427				Peter	Drafted		
Add. 14,544	2#421-422	DLII	CCCIV	DLII		Add. 14,738, foll. 114, 115	3#1164	DCCCCXCI	DCCCCXCI	#N/A	#N/A	991	Approx. 11c	715				Daniel	Framework established for a later stage		
Add. 14,545	2#422	DLIII	CCCV	DLIII		Add. 14,670, foll. 15-18	3#1164	DCCCCXCII	DCCCCXCII	DCCCCXCII	#N/A	992	Approx. 7c	515				Justin	Drafted		
Add. 14,634, foll. 52-57	2#422-423	DLIV	CCCLXXIX	DLIV		Add. 17,215, foll. 5, 6	3#1164-1165	DCCCCXCIII	DCCCCXCIII	DCCCCXCIII	#N/A	993	839	897				Peter	Drafted		
Add. 18,815	2#436-437	DLIX	DLXVIII	DLIX		Add. 17,215, foll. 7, 8 upper text	3#1165	DCCCCXCIV	DCCCCXCIV	DCCCCXCIV	#N/A	994	Approx. 9c	898				Peter	Drafted		
Add. 12,153	2#423-428	DLV	XXIII	DLV		Add. 17,215, foll. 7, 8 lower text	3#1165	DCCCCXCIV	DCCCCXCIV	DCCCCXCIV	994	994	6c	1408				Peter	Drafted		
Add. 14,549	2#428-431	DLVI	CCCIX	DLVI		Add. 25,876	3#1174-1179	DCCCCXCIX	DCCCCXCIX	#N/A	#N/A	999	Approx. 16c	1145							
Add. 14,547	2#431-434	DLVII	CCCVII	DLVII		Add. 21,454	3#1165-1167	DCCCCXCV	DCCCCXCV	DCCCCXCV	#N/A	995	Approx. 13c	1138				Peter	Drafted		
Add. 14,548	2#434-436	DLVIII	CCCVIII	DLVIII		Add. 17,217, foll. 37, 38	3#1168-1172	DCCCCXCVI	#N/A	#N/A	#N/A	996	Approx. 9c-10c	933				Daniel	Framework established for a later stage		
Add. 17,146	2#437-438	DLX	LXXVII	DLX		Add. 14,665, fol. 28	3#1172-1173	DCCCCXCVII	DCCCCXCVII	#N/A	#N/A	997	Approx. (9c-10c)	444							
Add. 17,147	2#438-440	DLXI	LXXVIII	DLXI		Add. 23,597	3#1173-1174	DCCCCXCVIII	DCCCCXCVIII	DCCCCXCVIII	#N/A	998	Approx. 18c	1142				Jessie	Drafted	Lindsay	
Add. 17,197, foll. 1-25	2#440-441	DLXII	CXXXI	DLXII		Add. 14,639	3#1039-1040	DCCCCXI	#N/A	DCCCCXI	#N/A	911	Approx. 6c	403				Stephanie	Drafted		
Add. 14,550	2#443-444	DLXIV	CCCX	DLXIV		Add. 14,541, fol. 52	3#1040	DCCCCXII	#N/A	DCCCCXII	912	912	Approx. 9c	272				Stephanie	Drafted		
Add. 14,541, foll. 50, 51	2#450	DLXIX	CCC	DLXIX		Add. 14,643	3#1040-1041	DCCCCXIII	#N/A	DCCCCXIII	#N/A	913	Approx. 8c (mid)	407				Stephanie	Drafted		
Add. 14,635, foll. 1-4	2#445	DLXV	CCCLXXXI	DLXV		Add. 17,216, fol. 1	3#1041	DCCCCXIV	#N/A	DCCCCXIV	#N/A	914	Approx. 8c-9c	912				Peter	Drafted		
Add. 12,163, foll. 305-311	2#445	DLXVI	XXXIII	DLXVI		Add. 17,202	3#1046-1061	DCCCCXIX	#N/A	#N/A	#N/A	919	Approx. 6c (late)- 7c(early)	864							
Add. 14,635, foll. 5-15	2#449-450	DLXVIII	CCCLXXXII	DLXVIII		Add. 14,626	3#1087-1088	DCCCCXL	DCCCCXL	DCCCCXL	#N/A	940	Approx. 6c	366				Peter	Drafted		
Add. 14,522, fol. 46	2#450	DLXX	CCLXXVIII	DLXX		Add. 14,609	3#1088-1090	DCCCCXLI	DCCCCXLI	#N/A	#N/A	941	Approx. 6c (587)	347							
Add. 17,170	2#454-458	DLXXIII	CIII	DLXXIII		Add. 12,160, foll. 109-152	3#1090	DCCCCXLII	DCCCCXLII	DCCCCXLII	942	942	Approx. 6c (late)	37				Justin	Drafted		
Add. 17,201, foll. 16-21	2#458	DLXXIV	CXXXVI	DLXXIV		Add. 12,160, foll. 153-185	3#1090-1091	DCCCCXLII	DCCCCXLII	DCCCCXLII	942	942	Approx. 7c	1226				Justin	Drafted		
Add. 14,670, foll. 8-13	2#464	DLXXIX	CCCCXXXIII	DLXXIX		Add. 14,648	3#1091-1092	DCCCCXLIII	DCCCCXLIII	#N/A	#N/A	943	Approx. 6c	414							
Add. 12,170, foll. 1-135	2#458-461	DLXXV	XLIII	DLXXV		Add. 12,142, foll. 74-107	3#1092-1093	DCCCCXLIV	DCCCCXLIV	#N/A	944	944	Approx. 6c	16					Framework established for a later stage		
Add. 14,575	2#461-462	DLXXVI	cccxl	DLXXVI		Add. 14,650	3#1103-1107	DCCCCXLIX	DCCCCXLIX	#N/A	#N/A	949	Approx. 6c-7c	418							
Add. 14,576	2#462-464	DLXXVII	cccxli	DLXXVII		Add. 14,647	3#1094-1100	DCCCCXLV	DCCCCXLV	#N/A	#N/A	945	688	413							
Add. 14,670, fol. 14	2#464	DLXXVIII	CCCCXXXIV	DLXXVIII		Add. 12,175, foll. 1-48	3#1100-1101	DCCCCXLVI	DCCCCXLVI	DCCCCXLVI	946	946	Approx. 7c-8c	72				Julia	Drafted	Justin 3/17/2015	
