Add. 14,498	1#230-231	CCXCV	295	1133	188
Add. 14,499	1#229-230	CCXCIII	293	Approx. 10c-11c	189
(Add. 14,500)	1#230	CCXCIV	294	Approx. 11c	190
Add. 14,501	1#270-271	CCCXXIV	324	Approx. 11c	191
Add. 14,502	1#394-395	DXV	515	Approx. 12c	192
Add. 14,503	1#254-258	CCCXVIII	318	Approx. 10c-11c	193
Add. 14,504	1#280-282	CCCXXXVIII	338	Approx. 9c	194
Add. 14,505	1#282-283	CCCXXXIX	339	Approx. 10c	195
(Add. 14,506)					196
Add. 14,506, foll, 1-96	1#368	CCCCLXIII	468	Approx. 11c	197
Add. 14,506, foll. 97-110	1#367	CCCCLX	460	Approx. 11c	198
Add. 14,506, foll. 111-118	1#366	CCCCLV	455	Approx. 9c	199
Add. 14,506, foll. 119-235	1#247-249	CCCX	310	Approx. 9c-10c	200
Add. 14,507	1#283-285	CCCXL	340	Approx. 10c-11c	201
Add. 14,508	1#324-325	CCCCXIV	414	Approx. 11c-12c	202
Add. 14,509	1#271-272	CCCXXV	325	Approx. 11c	203
Add. 14,510	1#378-379	CCCCLXXXVI	486	1056	204
Add. 14,511	1#249-250	CCCXI	311	Approx. 10c	205
(Add. 14,512)	1#250-251				206
Add. 14,513	1#292	CCCXLVII	347	Approx. 9c-10c	207
Add. 14,514	1#341-343	CCCCXXV	425	Approx. 9c	208
Add. 14,515	1#240-243	CCCVI	306	893	209
Add. 14,516	1#244-246	CCCVIII	308	Approx. 9c	210
Add. 14,517	1#385-388	DII	502	Approx. 10c-11c	211
Add. 14,518	1#218	CCLXXXV	285	Approx. 9c-10c	212
Add. 14,519	1#272-274	CCCXXVII	327	Approx. 11c-12c	213
Add. 14,520	1#363-365	CCCCLI	451	Approx. 8c-9c	214
Add. 14,521	1#384	CCCCXCIX	499	Approx. 10c	215
(Add. 14,522)					216
Add. 14,522, foll. 1-3	1#324	CCCCXIII	413	Approx. 11c	217
Add. 14,522, foll. 4-26	1#246-247	CCCIX	309	Approx. 9c	218
Add. 14,522, foll. 27-36	1#233	CCXCIX	299	Approx. 10c-11c	219
Add. 14,522, foll. 37-45	2#831	DCCCXVI	816	Approx. 10c	220
Add. 14,522, fol. 46	2#450	DLXX	570	Approx. 9c-10c	221
(Add. 14,523)					222
Add. 14,523, foll. 1-7	1#204	CCLVI	256	Approx. 8c-9c	223
Add. 14,523, fol. 8	1#204	CCLVII	257	Approx. 8c-9c	224
Add. 14,523, fol. 9	1#204	CCLVIII	258	Approx. 10c	225
Add. 14,523, foll. 10-13	1#383-384	CCCCXCV	495	Approx. 8c	226
Add. 14,523, foll. 14-35	1#293	CCCXLIX	349	Approx. 9c-10c	227
Add. 14,523, foll. 36, 37	1#292-293	CCCXLVIII	348	Approx. 9c-10c	228
Add. 14,523, fol. 38	1#294	CCCLI	351	Approx. 10c	229
Add. 14,523, foll. 39-46	1#388	DIV	504	Approx. 10c-11c	230
Add. 14,523, foll. 47, 48	1#349	CCCCXXXIV	434	Approx. 11c	231
Add. 14,523, foll. 49-56	2#493	DCXXIV	624	Approx. 10c	232
(Add. 14,524)					233
Add. 14,524, fol. 1	1#204	CCLIX	259	Approx. 10c	234
Add. 14,524, fol. 2	1#204	CCLX	260	Approx. 10c	235
Add. 14,524, foll. 3-6	1#72	CXVI	116	Approx. 11c-12c	236
Add. 14,524, foll. 7-11	1#143	CCXI	211	Approx. 13c	237
Add. 14,524, foll. 12-21	1#349	CCCCXXXII	432	Approx. 11c	238
Add. 14,524, foll. 22-29	1#349	CCCCXXXIII	433	Approx. 11c	239
Add. 14,524, foll. 30-47	1#357	CCCCXLVI	446	Approx. 13c	240
Add. 14,524, foll. 48-67	1#350	CCCCXXXV	435	Approx. 11c-12c	241
(Add. 14,525)					242
Add. 14,525, foll. 1-10	1#393-394	DXIV	514	Approx. 9c-10c	243
Add. 14,525, foll. 11-24	1#302-303	CCCLXIX	369	Approx. 10c-11c	244
Add. 14,525, foll. 25-27	1#254	CCCXV	315	Approx. 10c-11c	245
Add. 14,525, foll. 28-45	1#254	CCCXVI	316	Approx. 10c-11c	246
Add. 14,525, foll. 46-55	1#254	CCCXVII	317	Approx. 10c-11c	247
Add. 14,525, foll. 56-75	1#225	CCLXXXVIII	288	Approx. 10c	248
(Add. 14,526)					249
Add. 14,526, foll. 1-39	2#1033-1036	DCCCCVII	907	Approx. 7c	250
