Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Theodosiopolis,Theodosiopolis,Erzurum,syriaca.org/place/484,1,,,,,,,,,,,,,,1,833
Thiruvalla,Thiruvalla,,syriaca.org/place/4445,,,,,,,,,,,,12,,,12,833
Thiruvananthapuram ,Thiruvananthapuram ,Trivandrum,syriaca.org/place/4446,,,,,,,,,,,,12,,,12,833
Thiruvithamcode ,Thiruvithamcode ,,syriaca.org/place/4502,,,,,,,,,,,,12,,,12,833
Thozhiyur,Thozhiyur,Anjur ,syriaca.org/place/4516,,,,,,,,,,,,12,,,12,833
Thrissur,Thrissur,Trichur,syriaca.org/place/876,,,,,,,,,,,,12,,,12,833
Tian Shan Mountains.,Tian Shan Mountains.,,syriaca.org/place/4412,,,,,,,,,,10,11,,,,"10, 11",833
Tiberias,Tiberias,,syriaca.org/place/201,1,2,,,5,,,,,,,,,,"1, 2, 5",833
Tibet,Tibet,,syriaca.org/place/646,,,,,,,,,,10,11,,,,"10, 11",833
Tigris River,Tigris River,,syriaca.org/place/202,1,2,,,,,7,8,9,,,,,14,"1, 2, 7, 8, 9, 14",833
Tikab,Tikab,,syriaca.org/place/4098,,2,,,,,,,9,,,,,,"2, 9",833
Ṭirhan,Ṭirhan,,syriaca.org/place/789,,,,4,,,7,,,,,,,,"4, 7",833
"Ṭiyari, Lower",Lower Ṭiyari ,,syriaca.org/place/761,,,,,,,,,,,,,,14,14,833
"Ṭiyari, Upper",Upper Ṭiyari,,syriaca.org/place/790,,,,,,,,,,,,,,14,14,833
Tokharistan,Tokharistan,Bactria,syriaca.org/place/4229,,,,,,,,,9,10,,,,,"9, 10",833
Toru Aygyr,Toru Aygyr,,syriaca.org/place/4330,,,,,,,,,,10,,,,,10,833
Transoxiana,Transoxiana,Sogdiana,syriaca.org/place/4273,,,,,,,,,,10,,,,,10,833
Travancore,Travancore,,syriaca.org/place/506,,,,,,,,,,,,12,,,12,833
Trebizond,Trebizond,,syriaca.org/place/4052,1,2,,,,,,,,,,,,,"1, 2",833
Trichur,Trichur,Thrissur,syriaca.org/place/876,,,,,,,,,,,,12,,,12,833
Tripoli,Tripoli,Tripolis,syriaca.org/place/203,,2,3,4,,,,,,,,,,,"2, 3, 4",833
Tripolis,Tripolis,Tripoli,syriaca.org/place/203,1,,,,,,,,,,,,,,1,833
Trivandrum,Trivandrum,Thiruvananthapuram ,syriaca.org/place/4446,,,,,,,,,,,,12,,,12,833
Ṭur ʿAbdin,Ṭur ʿAbdin,,syriaca.org/place/221,,,,,,,7,,,,,,,14,"7, 14",833
Turfan,Turfan,,syriaca.org/place/478,,,,,,,,,,10,11,,,,"10, 11",833
Turkistan,Turkistan,,syriaca.org/place/647,,,,,,,,,,10,,,,,10,833
Ṭus,Ṭus,,syriaca.org/place/4276,,,,,,,,,9,10,,,,,"9, 10",834
"Tuz, Lake",Lake Tuz,"Tatta, Lake",syriaca.org/place/4032,,2,,,,,,,,,,,,,2,834
Txuma,Txuma,,syriaca.org/place/251,,,,,,,,,,,,,,14,14,834
Tyana,Tyana,,syriaca.org/place/4053,1,,,,,,,,,,,,,,1,834
Tyre,Tyre,,syriaca.org/place/195,1,2,,4,5,,,,,,,,,,"1, 2, 4, 5",834
Udayamperur ,Udayamperur ,Diamper,syriaca.org/place/4432,,,,,,,,,,,,12,13,,"12, 13",834
Ujjain,Ujjain,,syriaca.org/place/4413,,,,,,,,,,,11,,,,11,834
Ulaan Tolgoi,Ulaan Tolgoi,,syriaca.org/place/4332,,,,,,,,,,10,11,,,,"10, 11",834
Urgut,Urgut,,syriaca.org/place/649,,,,,,,,,,10,,,,,10,834
Urmi,Urmi,Urmia,syriaca.org/place/206,,,,,,,,,,,,,,14,14,834
"Urmi, Lake",Lake Urmi,"Urmia, Lake",syriaca.org/place/116,,,,,,,,,,,,,,14,14,834
Urmia,Urmia,Urmi,syriaca.org/place/206,,2,,,,,7,,9,,,,,,"2, 7, 9",834
"Urmia, Lake",Lake Urmia,"Urmi, Lake",syriaca.org/place/116,1,2,,,,,7,,9,,,,,,"1, 2, 7, 9",834
Uruk,Uruk,Orchoe,syriaca.org/place/4039,1,,,,,,,8,,,,,,,"1, 8",834
Ürümchi,Ürümchi,Luntai,syriaca.org/place/4309,,,,,,,,,,10,,,,,10,834
Uzgand,Uzgand,,syriaca.org/place/4333,,,,,,,,,,10,,,,,10,834
Vadakkumkur,Vadakkumkur,,syriaca.org/place/4501,,,,,,,,,,,,,13,,13,834
Vagharshapat,Vagharshapat,Echmiadzin,syriaca.org/place/4054,1,,,,,,,,,,,,,,1,834
Van,Van,,syriaca.org/place/791,1,2,,,,,7,,9,,,,,14,"1, 2, 7, 9, 14",834
"Van, Lake",Lake Van ,,syriaca.org/place/117,1,2,,,,,7,,9,,,,,14,"1, 2, 7, 9, 14",834
Varappuzha,Varappuzha,Verapoly,syriaca.org/place/4532,,,,,,,,,,,,,13,,13,834
Veh-Antiokh-e Khosrow,Veh-Antiokh-e Khosrow,"Maḥoza Ḥdatta, Rumiyya",syriaca.org/place/4209,1,,,,,,,8,,,,,,,"1, 8",834
Veh-Ardashir,Veh-Ardashir,"Kokhe, Maḥoza",syriaca.org/place/475,1,,,,,,,8,,,,,,,"1, 8",834
Veh-Ardashir,Veh-Ardashir,Kirman,syriaca.org/place/4233,,,,,,,,,9,,,,,,9,834
Veh-Shapur,Veh-Shapur,Bishapur,syriaca.org/place/4235,,,,,,,,,9,,,,,,9,834
Verapoly,Verapoly,Varappuzha,syriaca.org/place/4532,,,,,,,,,,,,,13,,13,834
Vijaya,Vijaya,,syriaca.org/place/4414,,,,,,,,,,,11,,,,11,834
Wadi Musa,Wadi Musa,Petra,syriaca.org/place/157,,2,,,5,,,,,,,,,,"2, 5",834
Wadi Naṭrun,Wadi Naṭrun,Scetis,syriaca.org/place/289,,,,,5,,,,,,,,,,5,834
Wasiṭ,Wasiṭ,Kashkar,syriaca.org/place/509,,2,,,,,,8,9,,,,,,"2, 8, 9",834
Wondrous Mountain,Wondrous Mountain,,syriaca.org/place/4109,,,3,,,,,,,,,,,,3,834
Xanadu,Xanadu,Shangdu,syriaca.org/place/4400,,,,,,,,,,,11,,,,11,834
Xi’an,Xi’an,Chang’an,syriaca.org/place/479,,,,,,,,,,,11,,,,11,834
Xiapu,Xiapu,Shangwan,syriaca.org/place/4415,,,,,,,,,,,11,,,,11,834
Xijing,Xijing,Datong,syriaca.org/place/4417,,,,,,,,,,,11,,,,11,834
Xingqing,Xingqing,"Ningxia, Yinchuan",syriaca.org/place/4527,,,,,,,,,,,11,,,,11,834
Xining,Xining,,syriaca.org/place/4420,,,,,,,,,,,11,,,,11,834
Yalpanam,Yalpanam,Jaffna,syriaca.org/place/4435,,,,,,,,,,,,12,,,12,834
Yangtze River,Yangtze River,Chang Jiang River,syriaca.org/place/4545,,,,,,,,,,,11,,,,11,834
Yangzhou,Yangzhou,,syriaca.org/place/2536,,,,,,,,,,,11,,,,11,834
Yanqi,Yanqi,Qarashahr,syriaca.org/place/4321,,,,,,,,,,10,11,,,,"10, 11",834
Yanuḥ,Yanuḥ,,syriaca.org/place/4124,,,,4,,,,,,,,,,,4,834
Yarkand,Yarkand,,syriaca.org/place/4334,,,,,,,,,,10,11,,,,"10, 11",834
Yazd,Yazd,,syriaca.org/place/4277,,,,,,,,,9,,,,,,9,834
Yellow River,Yellow River,,syriaca.org/place/4421,,,,,,,,,,,11,,,,11,834
Yellow Sea,Yellow Sea,,syriaca.org/place/4422,,,,,,,,,,,11,,,,11,834
Yemen,Yemen,,syriaca.org/place/4543,,,,,,6,,,,,,,,,6,834
Yerevan,Yerevan,,syriaca.org/place/817,,2,,,,,,,,,,,,,2,834
Yeti Su,Yeti Su,Semirechye,syriaca.org/place/4488,,,,,,,,,,10,11,,,,"10, 11",834
Yinchuan,Yinchuan,"Ningxia, Xingqing",syriaca.org/place/4419,,,,,,,,,,,11,,,,11,834
Yüksekova,Yüksekova,Gawar,syriaca.org/place/815,,,,,,,,,,,,,,14,14,834
Yunnanfu,Yunnanfu,Kunming,syriaca.org/place/4423,,,,,,,,,,,11,,,,11,834
"Zab River, Great",Great Zab River,,syriaca.org/place/204,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",834
"Zab River, Little",Little Zab River,,syriaca.org/place/121,1,2,,,,,7,,,,,,,,"1, 2, 7",834
Zabdicene,Zabdicene,Beth Zabdai,syriaca.org/place/4520,1,,,,,,,,,,,,,,1,834
Zabe,Zabe,,syriaca.org/place/4219,,,,,,,,8,,,,,,,8,834
Zagros Mountains,Zagros Mountains,,syriaca.org/place/4200,,,,,,,7,8,,,,,,,"7, 8",834
Zakho,Zakho,,syriaca.org/place/208,,,,,,,,,,,,,,14,14,834
Zarang,Zarang,,syriaca.org/place/4278,,,,,,,,,9,,,,,,9,834
Zaz,Zaz,,syriaca.org/place/538,,,,,,,,,,,,,,14,14,834
Zeugma,Zeugma,,syriaca.org/place/209,1,,3,,,,7,,,,,,,,"1, 3, 7",834
Zhangye,Zhangye,Ganzhou,syriaca.org/place/4525,,,,,,,,,,,11,,,,11,834
Zhenjiang,Zhenjiang,,syriaca.org/place/2537,,,,,,,,,,,11,,,,11,834
Ẓufar,Ẓufar,,syriaca.org/place/4152,,,,,,6,,,,,,,,,6,834
Zula,Zula,Adulis,syriaca.org/place/4144,,,,,,6,,,,,,,,,6,834
ʾIbb,ʾIbb,,syriaca.org/place/4496,,,,,,6,,,,,,,,,6,828
ʿAbdasi,ʿAbdasi,Nahargur,syriaca.org/place/4213,,,,,,,,8,,,,,,,8,824
ʿAkka,ʿAkka,"Acre, Akko, Ptolemaïs",syriaca.org/place/14,,2,,,5,,,,,,,,,,"2, 5",824
ʿAkkaz Island,ʿAkkaz Island,,syriaca.org/place/4497,,,,,,6,,,,,,,,,6,824
ʿAmedia,ʿAmedia,,syriaca.org/place/20,,,,,,,,,,,,,,14,14,824
ʿAna,ʿAna,,syriaca.org/place/429,1,2,,,,,7,,,,,,,,"1, 2, 7",824
ʿAnkawa,ʿAnkawa,,syriaca.org/place/261,,,,,,,,,,,,,,14,14,824
ʿAqaba,ʿAqaba,,syriaca.org/place/4125,,,,,5,,,,,,,,,,5,825
ʿArqa,ʿArqa,,syriaca.org/place/432,,,3,4,,,,,,,,,,,"3, 4",825
ʿAyn Zarba,ʿAyn Zarba,Anazarba,syriaca.org/place/9,,2,3,,,,,,,,,,,,"2, 3",825
ʿAynwardo,ʿAynwardo,,syriaca.org/place/29,,,,,,,,,,,,,,14,14,825
ʿUkbara,ʿUkbara,,syriaca.org/place/4056,1,,,,,,,8,,,,,,,"1, 8",834
Alodia ,Alodia ,,syriaca.org/place/4540,,,,,,6,,,,,,,,,6,824
