Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Bukhara,Bukhara,,syriaca.org/place/4238,,,,,,,,,9,10,11,,,,"9, 10, 11",826
Burana,Burana,Balasaghun,syriaca.org/place/4284,,,,,,,,,,10,,,,,10,826
Burma,Burma,,syriaca.org/place/4347,,,,,,,,,,,11,,,,11,826
Byblos,Byblos,Jubayl,syriaca.org/place/52,1,,,4,,,,,,,,,,,"1, 4",826
Caesarea,Caesarea,Kayseri,syriaca.org/place/60,1,,,,,,,,,,,,,,1,826
Caesarea Maritima,Caesarea Maritima,,syriaca.org/place/53,1,,,,5,,,,,,,,,,"1, 5",826
Caesarea Philippi,Caesarea Philippi,Baniyas,syriaca.org/place/154,1,,,4,5,,,,,,,,,,"1, 4, 5",826
Cairo,Cairo,,syriaca.org/place/521,,,,,5,,,,,,,,,,5,826
Calcutta,Calcutta,Kolkata,syriaca.org/place/4348,,,,,,,,,,,11,,,,11,826
Calicut,Calicut,Kozhikode,syriaca.org/place/4425,,,,,,,,,,,,12,,,12,826
Calliana,Calliana,Kalyan,syriaca.org/place/4371,,,,,,,,,,,11,,,,11,826
Callinicum,Callinicum,al-Raqqa,syriaca.org/place/109,,,,,,,7,,,,,,,,7,826
Camacha,Camacha,"Kamacha, Kamakh",syriaca.org/place/4014,1,,,,,,,,,,,,,,1,826
Cambodia,Cambodia,,syriaca.org/place/4350,,,,,,,,,,,11,,,,11,826
Cane Emporium,Cane Emporium,Qanaʾ,syriaca.org/place/4171,,,,,,6,,,,,,,,,6,826
Cappadocia,Cappadocia,,syriaca.org/place/54,1,,,,,,,,,,,,,,1,826
Cardamom Hills,Cardamom Hills,,syriaca.org/place/4523,,,,,,,,,,,,,13,,13,826
Carrhae,Carrhae,Ḥarran,syriaca.org/place/216,1,,,,,,7,,,,,,,,"1, 7",826
Caspian Sea,Caspian Sea,,syriaca.org/place/61,1,2,,,,,,,9,,,,,,"1, 2, 9",826
Castabala,Castabala,,syriaca.org/place/4023,1,,3,,,,,,,,,,,,"1, 3",826
Ceylon,Ceylon,Sri Lanka,syriaca.org/place/4427,,,,,,,,,,,,12,,,12,826
Chagan Nor,Chagan Nor,,syriaca.org/place/4468,,,,,,,,,,,11,,,,11,826
Chalcis,Chalcis,Qenneshrin,syriaca.org/place/162,1,,3,,,,,,,,,,,,"1, 3",826
Challa,Challa,,syriaca.org/place/4453,,,,,,,,,,,,,,14,14,826
